nohup: ignoring input
Loading data.
Ready to train network.
/home/omnisky/anaconda3/envs/pytorch/lib/python3.8/site-packages/torchvision/transforms/transforms.py:210: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch:1/30 || Epochiter:141/769 || Yaw:205.4178,Pitch:117.1486,Roll:124.6306||Batchtime:0.7705||ETA:4:54:27
Epoch:1/30 || Epochiter:142/769 || Yaw:88.1521,Pitch:87.9745,Roll:94.5779||Batchtime:0.7437||ETA:4:44:11
Epoch:1/30 || Epochiter:143/769 || Yaw:125.2516,Pitch:182.7195,Roll:89.1767||Batchtime:0.7492||ETA:4:46:17
Epoch:1/30 || Epochiter:144/769 || Yaw:140.0411,Pitch:145.5656,Roll:91.9619||Batchtime:0.7240||ETA:4:36:38
Epoch:1/30 || Epochiter:145/769 || Yaw:92.4683,Pitch:143.1141,Roll:69.3256||Batchtime:0.7403||ETA:4:42:52
Epoch:1/30 || Epochiter:146/769 || Yaw:109.3847,Pitch:192.6546,Roll:111.1168||Batchtime:0.7561||ETA:4:48:52
Epoch:1/30 || Epochiter:147/769 || Yaw:91.4597,Pitch:97.0398,Roll:67.8369||Batchtime:0.7402||ETA:4:42:47
Epoch:1/30 || Epochiter:148/769 || Yaw:161.5402,Pitch:193.4245,Roll:112.1387||Batchtime:0.7483||ETA:4:45:53
Epoch:1/30 || Epochiter:149/769 || Yaw:63.3062,Pitch:104.9111,Roll:89.1245||Batchtime:0.7678||ETA:4:53:20
Epoch:1/30 || Epochiter:150/769 || Yaw:100.7915,Pitch:110.6786,Roll:98.0031||Batchtime:0.7164||ETA:4:33:41
Epoch:1/30 || Epochiter:151/769 || Yaw:112.4399,Pitch:221.9300,Roll:113.1124||Batchtime:0.7679||ETA:4:53:21
Epoch:1/30 || Epochiter:152/769 || Yaw:132.0512,Pitch:162.9597,Roll:92.6071||Batchtime:0.7546||ETA:4:48:15
Epoch:1/30 || Epochiter:153/769 || Yaw:68.4837,Pitch:152.0475,Roll:102.2712||Batchtime:0.7195||ETA:4:34:50
Epoch:1/30 || Epochiter:154/769 || Yaw:104.7860,Pitch:187.6539,Roll:104.6883||Batchtime:0.7500||ETA:4:46:28
Epoch:1/30 || Epochiter:155/769 || Yaw:95.0389,Pitch:160.5396,Roll:95.2430||Batchtime:0.7206||ETA:4:35:13
Epoch:1/30 || Epochiter:156/769 || Yaw:172.2850,Pitch:92.2205,Roll:94.7182||Batchtime:0.7495||ETA:4:46:14
Epoch:1/30 || Epochiter:157/769 || Yaw:117.8009,Pitch:103.0335,Roll:124.1323||Batchtime:0.7578||ETA:4:49:24
Epoch:1/30 || Epochiter:158/769 || Yaw:121.1469,Pitch:115.6078,Roll:114.6897||Batchtime:0.7327||ETA:4:39:49
Epoch:1/30 || Epochiter:159/769 || Yaw:90.6982,Pitch:65.3091,Roll:65.4288||Batchtime:0.7717||ETA:4:54:42
Epoch:1/30 || Epochiter:160/769 || Yaw:66.1116,Pitch:106.2758,Roll:98.3708||Batchtime:0.7553||ETA:4:48:25
Epoch:1/30 || Epochiter:161/769 || Yaw:53.8766,Pitch:114.8860,Roll:122.2585||Batchtime:0.7536||ETA:4:47:44
Epoch:1/30 || Epochiter:162/769 || Yaw:60.3969,Pitch:80.0586,Roll:74.3367||Batchtime:0.7147||ETA:4:32:53
Epoch:1/30 || Epochiter:163/769 || Yaw:88.3226,Pitch:112.7354,Roll:55.5466||Batchtime:0.7569||ETA:4:48:58
Epoch:1/30 || Epochiter:164/769 || Yaw:79.1287,Pitch:79.0875,Roll:96.2292||Batchtime:0.7189||ETA:4:34:27
Epoch:1/30 || Epochiter:165/769 || Yaw:62.3312,Pitch:63.9054,Roll:74.0027||Batchtime:0.7508||ETA:4:46:37
Epoch:1/30 || Epochiter:166/769 || Yaw:54.2596,Pitch:92.1574,Roll:65.5039||Batchtime:0.7563||ETA:4:48:44
Epoch:1/30 || Epochiter:167/769 || Yaw:75.2104,Pitch:58.1351,Roll:74.7967||Batchtime:0.7102||ETA:4:31:06
Epoch:1/30 || Epochiter:168/769 || Yaw:96.9845,Pitch:79.4381,Roll:80.5853||Batchtime:0.7430||ETA:4:43:35
Epoch:1/30 || Epochiter:169/769 || Yaw:62.9328,Pitch:63.6251,Roll:58.1094||Batchtime:0.7152||ETA:4:33:00
Epoch:1/30 || Epochiter:170/769 || Yaw:65.8466,Pitch:76.4119,Roll:71.7179||Batchtime:0.7456||ETA:4:44:34
Epoch:1/30 || Epochiter:171/769 || Yaw:88.9294,Pitch:71.5457,Roll:78.8296||Batchtime:0.7379||ETA:4:41:37
Epoch:1/30 || Epochiter:172/769 || Yaw:91.1856,Pitch:69.9697,Roll:73.6504||Batchtime:0.7377||ETA:4:41:31
